"id","description"
"27003","[51480, 48980, 45602, 45745, 30973, 37178, 50769, 29837]"
"27004","[43312, 48139, 49147, 40401, 51728, 49565, 45694, 35445]"
"27005","[37079, 37419, 51664, 48004, 38428, 48956, 30840, 40432]"
"27006","[48696, 46912, 30962, 32348, 46916, 40421, 43209, 40079]"
"27007","[38378, 42810, 43874, 41000, 44626, 41678, 42572, 42027]"
"27009","[31988, 32138, 28226, 34172, 27910, 29719, 37535, 34004]"
"27010","[28405, 28404, 28400, 31613, 29216, 27707, 28100, 40211]"
"27013","[39564, 28873, 36031, 43005, 33466, 38283, 50284, 31152]"
"27014","[27858, 46463, 41710, 42963, 33727, 27948, 38336, 43877]"
"27015","[29556, 34016, 43437, 42597, 33144, 38850, 32730, 40492]"
"27016","[29506, 51984, 29536, 29532, 27015, 44930, 42126, 46073]"
"27019","[34512, 27337, 28831, 46661, 48434, 35297, 48484, 42847]"
"27027","[48820, 48597, 44723, 28438, 28263, 49713, 38716, 38061]"
"27028","[37945, 46987, 28858, 28473, 27837, 34698, 40383, 40197]"
"27034","[30772, 50127, 48058, 31557, 48114, 48061, 30747, 31579]"
"27035","[28663, 27485, 32136, 40361, 49398, 37151, 48932, 39643]"
"27036","[39163, 34766, 32471, 31339, 32142, 30441, 47988, 30461]"
"27038","[38159, 27641, 27215, 27333, 28922, 36143, 33809, 46661]"
"27040","[32600, 49461, 39364, 41809, 35216, 30967, 39262, 37809]"
"27041","[45122, 43582, 44626, 30786, 47839, 44470, 46696, 47050]"
"27042","[38448, 48888, 35516, 47103, 32832, 36644, 30185, 35526]"
"27043","[40051, 49956, 30560, 33680, 33682, 36234, 46615, 43917]"
"27044","[44544, 48966, 27907, 28128, 42530, 44603, 48962, 49438]"
"27045","[47793, 36449, 29955, 34232, 28343, 40313, 35841, 37896]"
"27046","[35438, 45584, 32730, 46815, 32740, 28833, 46533, 29264]"
"27047","[27568, 28190, 28028, 40617, 42970, 46073, 51301, 36394]"
"27050","[45483, 42579, 50657, 51466, 36541, 32427, 45863, 44736]"
"27056","[38902, 44604, 37467, 36815, 40079, 27410, 44909, 28585]"
"27059","[43569, 38411, 30628, 45794, 45101, 28767, 31543, 46225]"
"27060","[27062, 32004, 30103, 31546, 41140, 50124, 40176, 46241]"
"27061","[45529, 33219, 44464, 36377, 40733, 45532, 43529, 37275]"
"27062","[27060, 41140, 31546, 30103, 32004, 31702, 46241, 40176]"
"27071","[29360, 35330, 29331, 29229, 29277, 29111, 28059, 29157]"
"27073","[43233, 37623, 29594, 42449, 50973, 38996, 43957, 40773]"
"27076","[27246, 34172, 32311, 33924, 29177, 49858, 39811, 31926]"
"27077","[40135, 42068, 28223, 31963, 35526, 33165, 31926, 36451]"
"27078","[34529, 30733, 33809, 35581, 33735, 42284, 28164, 50789]"
"27079","[29880, 34707, 31346, 30563, 39723, 28473, 32236, 39062]"
"27080","[37680, 42092, 29624, 37333, 32313, 27246, 31706, 42317]"
"27081","[37304, 28424, 32618, 33276, 32326, 33534, 43192, 28275]"
"27082","[39996, 40547, 32806, 41659, 44142, 49525, 39685, 36538]"
"27083","[34323, 29996, 51912, 39229, 40519, 43909, 30058, 39094]"
"27084","[38857, 27951, 40385, 44581, 36472, 31263, 34161, 42760]"
"27086","[37322, 37102, 35597, 31613, 27084, 28186, 29216, 28100]"
"27087","[36059, 43709, 40879, 43856, 36020, 45362, 39643, 39612]"
"27092","[44588, 27524, 35385, 36025, 50579, 30282, 30697, 29926]"
"27093","[36733, 29071, 29577, 41178, 31362, 47039, 34789, 32823]"
"27094","[42831, 27791, 51989, 49456, 40023, 44288, 48182, 28384]"
"27096","[28399, 29720, 51357, 50354, 48702, 50510, 35213, 51213]"
"27098","[39705, 41890, 33607, 36105, 27372, 28292, 50229, 36816]"
"27102","[46780, 34479, 42809, 47022, 43526, 45946, 44901, 32970]"
"27103","[51116, 33620, 29965, 29199, 29547, 48855, 30772, 49441]"
"27104","[42345, 38445, 30646, 30184, 49943, 31885, 36814, 34668]"
"27107","[32163, 38447, 44454, 45617, 51983, 30094, 46628, 48610]"
"27108","[43158, 48333, 32135, 51257, 45938, 41887, 33664, 35277]"
